Real Time,VCT,Vinyl Sheet,Linoleum,LVT
0,0.9631,0.9444,1.0049,1.0104
1,0.9388,0.9405,0.9919,1.0001
2,1.3964,1.2382,1.0954,2.0528
3,22.4360,16.0349,19.8202,15.6411
4,27.1903,18.6316,27.0413,25.6738
5,25.2034,21.5969,27.0413,20.3226
6,24.3343,22.8967,21.2586,23.6861
7,23.0447,21.4797,24.3899,22.4968
8,20.2908,26.4197,17.7849,19.6922
9,25.4191,27.1585,14.2204,16.5526
10,17.6471,18.0361,3.4898,8.5845
11,16.3396,17.4339,1.7928,12.7225
12,10.5163,17.3863,4.4563,4.5509
13,7.7811,7.4953,3.3789,0.7487
14,1.4733,4.5294,1.4190,4.0835
15,2.3772,4.1003,0.2668,3.4775
16,1.5220,0.9273,1.3484,0.7373
17,1.1587,3.1555,0.4421,0.6712
18,8.2218,1.5423,0.3697,1.5437
19,1.5197,0.4665,0.5457,0.3381
20,2.9553,0.8994,1.3718,0.4223
21,0.8384,1.1426,1.1364,1.4806
22,0.6958,1.2864,1.0145,1.2749
23,1.3745,1.5022,1.1291,1.0292
24,0.7552,0.8668,1.1647,1.0920
25,1.0220,0.7425,0.9203,1.1893